Player Name,player_link,Position,Age,nation,matches,goals,assists,Points,Market Value,Market_Value_EUR
Gabriel Avinci,https://www.transfermarkt.com/gabriel-avinci/profil/spieler/1291073,Second Striker,20,Italy,17,2,0,2,€50k,50000
Martin Zizka,https://www.transfermarkt.com/martin-zizka/profil/spieler/469278,Second Striker,24,Czech Republic,27,2,0,2,,
Soulaimane Berradi,https://www.transfermarkt.com/soulaimane-berradi/profil/spieler/975716,Second Striker,19,"Belgium, Morocco",21,2,0,2,,
Peque Fernández,https://www.transfermarkt.com/peque-fernandez/profil/spieler/639733,Second Striker,21,Spain,29,1,1,2,€3.50m,3500000
Stoichkov,https://www.transfermarkt.com/stoichkov/profil/spieler/271021,Second Striker,30,Spain,31,1,1,2,€1.50m,1500000
Iker Losada,https://www.transfermarkt.com/iker-losada/profil/spieler/632741,Second Striker,22,Spain,25,1,1,2,€1.50m,1500000
Nicolò Buso,https://www.transfermarkt.com/nicolo-buso/profil/spieler/408293,Second Striker,24,Italy,16,1,1,2,€400k,400000
Benjamin Faraas,https://www.transfermarkt.com/benjamin-faraas/profil/spieler/918494,Second Striker,18,Norway,16,1,1,2,€350k,350000
Manu Vallejo,https://www.transfermarkt.com/manu-vallejo/profil/spieler/527350,Second Striker,27,Spain,9,1,1,2,€300k,300000
Ernesto Starita,https://www.transfermarkt.com/ernesto-starita/profil/spieler/288061,Second Striker,28,Italy,30,1,1,2,€250k,250000
Riccardo Martignago,https://www.transfermarkt.com/riccardo-martignago/profil/spieler/148956,Second Striker,32,Italy,24,1,1,2,€50k,50000
Libor Bobcik,https://www.transfermarkt.com/libor-bobcik/profil/spieler/668332,Second Striker,21,Czech Republic,15,1,1,2,,
Martin Souhrada,https://www.transfermarkt.com/martin-souhrada/profil/spieler/1047310,Second Striker,19,Czech Republic,22,1,1,2,,
Lorenzo Sgarbi,https://www.transfermarkt.com/lorenzo-sgarbi/profil/spieler/535797,Second Striker,23,Italy,17,0,2,2,€400k,400000
Juan Nazarit,https://www.transfermarkt.com/juan-nazarit/profil/spieler/968291,Second Striker,21,Colombia,7,0,2,2,,
Lorenzo Anghelè,https://www.transfermarkt.com/lorenzo-anghele/profil/spieler/925848,Second Striker,19,Italy,14,1,0,1,€700k,700000
Adam Boayar,https://www.transfermarkt.com/adam-boayar/profil/spieler/1064506,Second Striker,18,"Morocco, Spain",3,1,0,1,€500k,500000
Fabio Morselli,https://www.transfermarkt.com/fabio-morselli/profil/spieler/347885,Second Striker,26,Italy,12,1,0,1,€150k,150000
Leonardo Stanzani,https://www.transfermarkt.com/leonardo-stanzani/profil/spieler/357987,Second Striker,24,Italy,25,1,0,1,€150k,150000
Louie Marsh,https://www.transfermarkt.com/louie-marsh/profil/spieler/874043,Second Striker,19,England,3,1,0,1,€150k,150000
Álex Oyón,https://www.transfermarkt.com/alex-oyon/profil/spieler/870139,Second Striker,21,Spain,6,1,0,1,€100k,100000
Alessandro Piu,https://www.transfermarkt.com/alessandro-piu/profil/spieler/253857,Second Striker,27,Italy,21,1,0,1,€50k,50000
Giuseppe Simone,https://www.transfermarkt.com/giuseppe-simone/profil/spieler/746892,Second Striker,20,Italy,20,1,0,1,€50k,50000
Samuel Krismer,https://www.transfermarkt.com/samuel-krismer/profil/spieler/150960,Second Striker,30,Austria,18,1,0,1,,
Ondrej Chveja,https://www.transfermarkt.com/ondrej-chveja/profil/spieler/321179,Second Striker,25,Czech Republic,16,1,0,1,,
Lukas Hajek,https://www.transfermarkt.com/lukas-hajek/profil/spieler/580121,Second Striker,22,Czech Republic,16,1,0,1,,
Jakub Ptacek,https://www.transfermarkt.com/jakub-ptacek/profil/spieler/620021,Second Striker,31,Czech Republic,18,1,0,1,,
Cristo,https://www.transfermarkt.com/cristo/profil/spieler/339707,Second Striker,26,Spain,2,0,1,1,€5.00m,5000000
Beyatt Lekoueiry,https://www.transfermarkt.com/beyatt-lekoueiry/profil/spieler/970137,Second Striker,19,Mauritania,10,0,1,1,€1.00m,1000000
Daniel Lajud,https://www.transfermarkt.com/daniel-lajud/profil/spieler/570560,Second Striker,25,"Lebanon, Spain",18,0,1,1,€700k,700000
Emanuele Scipioni,https://www.transfermarkt.com/emanuele-scipioni/profil/spieler/814350,Second Striker,20,Italy,26,0,1,1,€225k,225000
Mohamed Soumaré,https://www.transfermarkt.com/mohamed-soumare/profil/spieler/177864,Second Striker,28,"Belgium, Guinea",19,0,1,1,€200k,200000
Nicola Anelli,https://www.transfermarkt.com/nicola-anelli/profil/spieler/821124,Second Striker,19,Italy,25,0,1,1,€150k,150000
Gabriele Pessolani,https://www.transfermarkt.com/gabriele-pessolani/profil/spieler/1063011,Second Striker,18,Italy,22,0,1,1,€150k,150000
Ali Houary,https://www.transfermarkt.com/ali-houary/profil/spieler/1064538,Second Striker,18,"Morocco, Spain",2,0,1,1,€150k,150000
Dani Hernández,https://www.transfermarkt.com/dani-hernandez/profil/spieler/175906,Second Striker,32,Spain,9,0,1,1,€50k,50000
Lamine Yamal,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,Right Winger,16,"Spain, Equatorial Guinea",42,13,21,34,€200.00m,200000000
Michael Olise,https://www.transfermarkt.com/michael-olise/profil/spieler/566723,Right Winger,22,"France, England",36,12,19,31,€100.00m,100000000
Mason Greenwood,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,Right Winger,22,England,36,22,6,28,€40.00m,40000000
Kwame Poku,https://www.transfermarkt.com/kwame-poku/profil/spieler/701062,Right Winger,22,"Ghana, England",29,12,10,22,€1.00m,1000000
Désiré Doué,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,Right Winger,19,"France, Cote d'Ivoire",38,10,12,22,€90.00m,90000000
Oliver Antman,https://www.transfermarkt.com/oliver-antman/profil/spieler/527896,Right Winger,22,Finland,36,6,16,22,€6.00m,6000000
Yaroslav Gladyshev,https://www.transfermarkt.com/yaroslav-gladyshev/profil/spieler/673114,Right Winger,21,Russia,39,13,8,21,€4.00m,4000000
Byron Burgering,https://www.transfermarkt.com/byron-burgering/profil/spieler/692771,Right Winger,23,Netherlands,39,10,11,21,€650k,650000
Yunus Akgün,https://www.transfermarkt.com/yunus-akgun/profil/spieler/396908,Right Winger,23,Türkiye,36,7,14,21,€14.00m,14000000
Mehmet Manış,https://www.transfermarkt.com/mehmet-manis/profil/spieler/499221,Right Winger,23,"Türkiye, Switzerland",34,3,18,21,€200k,200000
Derensili Sanches Fernandes,https://www.transfermarkt.com/derensili-sanches-fernandes/profil/spieler/608407,Right Winger,23,Netherlands,37,11,9,20,€600k,600000
Jaden Slory,https://www.transfermarkt.com/jaden-slory/profil/spieler/727480,Right Winger,19,"Netherlands, Suriname",34,10,10,20,€1.00m,1000000
Jarne Steuckers,https://www.transfermarkt.com/jarne-steuckers/profil/spieler/707159,Right Winger,22,Belgium,35,9,11,20,€11.00m,11000000
Rayan Cherki,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,Right Winger,20,"France, Algeria",32,8,12,20,€45.00m,45000000
